Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-06-12,135.7890773536617,138.15546927977084,135.7890773536617,137.58126831054688,1826361,0.0,0.0,0.0
2024-06-13,138.24249517879892,144.158476457633,136.6156053052815,143.4537811279297,1847033,0.0,0.0,0.0
2024-06-14,144.41947127332642,145.46346479618632,143.5494744584269,143.9583740234375,902250,0.0,0.0,0.0
2024-06-20,144.428138279727,148.4214329699663,144.03664244443559,146.3682403564453,1938785,0.0,0.0,0.0
2024-06-21,146.59445360279588,149.1783450339449,141.79206778554655,142.79257202148438,1332631,0.0,0.0,0.0
2024-06-24,143.54945194694582,144.41944862541217,140.7654652308727,142.80125427246094,1308257,0.0,0.0,0.0
2024-06-25,142.67947999626972,143.59297932199715,141.59198395971276,142.348876953125,477051,0.0,0.0,0.0
2024-06-26,141.80947906563767,146.24646807650348,141.80947906563767,143.47117614746094,1396914,0.0,0.0,0.0
2024-06-27,143.56685735021972,146.933740288957,143.5494536994111,144.86314392089844,1330569,0.0,0.0,0.0
2024-06-28,145.28945147857502,145.7244498362953,144.24545807506559,144.61085510253906,978742,0.0,0.0,0.0
2024-07-01,144.85443748274201,150.76170870180727,144.41943917198304,147.97772216796875,2781277,0.0,0.0,0.0
2024-07-02,148.2648278133492,150.07442244218524,147.46443248666898,148.6041259765625,1607730,0.0,0.0,0.0
2024-07-03,148.334435301719,149.37842867228375,146.33344026433056,146.69883728027344,1365050,0.0,0.0,0.0
2024-07-04,147.24694568985964,148.36923562394225,146.20295227499514,146.93374633789062,600352,0.0,0.0,0.0
2024-07-05,147.46443770670595,147.63843438821388,146.07243770445092,146.34214782714844,454529,0.0,0.0,0.0
2024-07-08,146.15945526122053,146.70755746648115,144.85446012495962,145.4634552001953,446587,0.0,0.0,0.0
2024-07-09,145.898442236706,147.46443893349684,145.5069463812823,146.74234008789062,927856,0.0,0.0,0.0
2024-07-10,146.4204494696559,147.33394867342957,145.71575425606076,145.88104248046875,343917,0.0,0.0,0.0
2024-07-11,146.15945188721517,146.59445025592711,145.2981503381307,145.5852508544922,307796,0.0,0.0,0.0
2024-07-12,145.94194727173428,148.76943656313895,143.1144579803296,147.0555419921875,960823,0.0,0.0,0.0
2024-07-15,147.15993973713856,148.49103365545707,147.07294803027966,147.8907470703125,600436,0.0,0.0,0.0
2024-07-16,147.8907470703125,147.8907470703125,147.8907470703125,147.8907470703125,0,0.0,0.0,0.0
2024-07-17,147.8907470703125,147.8907470703125,147.8907470703125,147.8907470703125,0,0.0,0.0,0.0
2024-07-18,148.33443990716532,149.5176359705665,147.02944483466825,149.117431640625,876936,0.0,0.0,0.0
2024-07-19,148.76944746314257,149.63074904327996,146.5944555411668,148.39535522460938,1486280,0.0,0.0,0.0
2024-07-22,147.89945720589435,150.42244263642638,147.02946039880084,147.84725952148438,3393924,0.0,0.0,0.0
2024-07-23,148.69112348653945,149.30011845723206,146.90762778479382,147.70802307128906,812872,0.0,0.0,0.0
2024-07-24,147.899444219352,150.42242942834937,147.07294998020436,149.9961395263672,1924886,0.0,0.0,0.0
2024-07-25,149.20444288011376,150.0744396316013,147.72545105760432,148.29965209960938,2374490,0.0,0.0,0.0
2024-07-26,147.99512910187414,149.20442390161816,147.63842729311273,148.11692810058594,456474,0.0,0.0,0.0
2024-07-29,148.33443272986082,150.50942441211686,148.1604360502995,148.78683471679688,1438417,0.0,0.0,0.0
2024-07-30,147.98644149733977,149.11742656828886,144.41944977714306,145.8636474609375,1625018,0.0,0.0,0.0
2024-07-31,139.19948323251737,149.98743787299858,137.5464946791701,145.99415588378906,13227280,0.0,0.0,0.0
2024-08-01,146.11593180810237,147.4209267571627,144.6891378614669,145.31553649902344,823064,0.0,0.0,0.0
2024-08-02,145.28944473391027,147.66453193977912,145.28944473391027,146.1681365966797,433681,0.0,0.0,0.0
2024-08-05,145.31555063395126,149.90043705131774,144.5673529260419,148.89993286132812,9511945,0.0,0.0,0.0
2024-08-06,148.769454422029,150.07444963625733,147.9081528016031,149.24795532226562,2803435,0.0,0.0,0.0
2024-08-07,149.9787243645516,149.9787243645516,145.02844122275275,145.68093872070312,1476069,0.0,0.0,0.0
2024-08-08,145.9419471142602,148.2474330701102,144.32375271361389,147.57754516601562,2942502,0.0,0.0,0.0
2024-08-09,147.90524880929192,149.67656915431337,146.13392846427047,146.3819122314453,571428,3.0,0.0,0.0
2024-08-12,146.5767602903964,147.15243400372097,144.73458548801523,145.16856384277344,341933,0.0,0.0,0.0
2024-08-13,144.80541982776023,145.24824985781456,143.04295144306806,144.39801025390625,333734,0.0,0.0,0.0
2024-08-15,143.47692877766116,147.15241259688102,142.6001204589439,145.07997131347656,772167,0.0,0.0,0.0
2024-08-16,145.24826957338212,145.24826957338212,143.4769492127311,143.6983642578125,596221,0.0,0.0,0.0
2024-08-19,144.00832745073657,144.0525996413157,141.17420452048813,142.564697265625,831192,0.0,0.0,0.0
2024-08-20,142.5912526455232,142.81266763410324,140.81993273688317,141.60816955566406,561935,0.0,0.0,0.0
2024-08-21,141.803033843156,143.48578256452188,141.803033843156,143.3263702392578,1005463,0.0,0.0,0.0
2024-08-22,143.47693762896907,145.24825784661067,143.34409401828626,143.5300750732422,1502065,0.0,0.0,0.0
2024-08-23,143.69835433588483,144.77000902628907,142.60013092303348,143.1226806640625,409162,0.0,0.0,0.0
2024-08-26,143.25549679089414,143.56548317877034,142.14842185433392,143.08721923828125,1224591,0.0,0.0,0.0
2024-08-27,143.21122675843262,143.21122675843262,139.75715798411653,141.3424835205078,894423,0.0,0.0,0.0
2024-08-28,141.26278374440264,141.26278374440264,139.04863352897314,140.4922637939453,703746,0.0,0.0,0.0
2024-08-29,139.93429995297447,141.66133449640932,138.86264525396558,139.23463439941406,1178756,0.0,0.0,0.0
2024-08-30,139.22575971658839,143.56550214982644,139.22575971658839,142.91896057128906,4301403,0.0,0.0,0.0
2024-09-02,143.4769302704229,143.56550168240273,142.0155965714568,142.66212463378906,511218,0.0,0.0,0.0
2024-09-03,142.67986048402577,143.3352403685698,141.70562887983613,142.8924102783203,187700,0.0,0.0,0.0
2024-09-04,143.01638849314003,145.42538503496712,142.12187666141256,144.8851318359375,530582,0.0,0.0,0.0
2024-09-05,145.69110313878423,146.13393323951001,144.28290666186075,145.9390869140625,393441,0.0,0.0,0.0
2024-09-06,145.94792129710672,147.01957595964333,145.24825576735847,145.6910858154297,4491544,0.0,0.0,0.0
2024-09-09,145.9922039150862,146.5767428095537,145.24825269345502,146.12506103515625,349406,0.0,0.0,0.0
2024-09-10,146.1339306527382,152.3335519531574,146.1339306527382,150.50022888183594,1569948,0.0,0.0,0.0
2024-09-11,150.56219393217583,150.91645251225916,147.46238405710162,147.8963623046875,1256038,0.0,0.0,0.0
2024-09-12,148.34806460916323,148.48090821660588,147.0195744783349,148.1177978515625,814847,0.0,0.0,0.0
2024-09-13,149.5437090327526,152.32468112700727,149.5437090327526,151.87298583984375,4808782,0.0,0.0,0.0
2024-09-16,152.43096869270104,154.5476959069659,151.44788538734196,152.97122192382812,485973,0.0,0.0,0.0
2024-09-17,152.97122192382812,152.97122192382812,152.97122192382812,152.97122192382812,0,0.0,0.0,0.0
2024-09-18,152.8649517858587,160.29564012206185,152.8649517858587,158.80772399902344,5912074,0.0,0.0,0.0
2024-09-19,159.4188015500843,168.89536093940836,159.4188015500843,167.38088989257812,3061228,0.0,0.0,0.0
