Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-09-13,406.67919461137416,409.7506956588258,403.13514338614397,404.0211486816406,511826,0.0,0.0,0.0
2024-09-16,408.24448123212596,408.24448123212596,403.73565128717996,405.7242736816406,112183,0.0,0.0,0.0
2024-09-17,405.7242736816406,405.7242736816406,405.7242736816406,405.7242736816406,0,0.0,0.0,0.0
2024-09-18,406.57088031242677,408.0377416483675,405.35016326579193,406.4232177734375,245193,0.0,0.0,0.0
2024-09-19,406.58073811358713,413.57038877261465,405.59628112057607,408.5496520996094,680736,0.0,0.0,0.0
2024-09-20,409.53411474716887,413.46208858968,404.11960121084815,412.1626281738281,475370,0.0,0.0,0.0
2024-09-23,412.48748458642984,412.48748458642984,406.5807425637125,407.6144104003906,69818,0.0,0.0,0.0
2024-09-24,411.3454954606978,411.3454954606978,402.6428994781441,404.6019592285156,1037005,0.0,0.0,0.0
2024-09-25,408.3035456641526,408.3035456641526,402.64291784602386,403.6076965332031,2513871,0.0,0.0,0.0
2024-09-26,403.676588565583,404.6118347507961,398.7050926376458,399.1776428222656,121270,0.0,0.0,0.0
2024-09-27,400.6248149296253,401.6584828313785,396.9823117690034,399.1382751464844,54186,0.0,0.0,0.0
2024-09-30,401.63877984647877,401.64860398712636,393.7926563123397,399.5812683105469,43229,0.0,0.0,0.0
2024-10-01,402.5444690025447,403.5289260214031,396.7853894335743,399.1776428222656,40264,0.0,0.0,0.0
2024-10-02,401.6485884485425,401.6485884485425,396.73615779587533,400.1620788574219,100268,0.0,0.0,0.0
2024-10-03,398.8035275556338,403.13513224756963,398.8035275556338,401.9734802246094,38990,0.0,0.0,0.0
2024-10-04,401.6584599612869,407.5652020195411,401.16623145643234,406.35430908203125,134916,0.0,0.0,0.0
2024-10-07,404.611860783446,409.5341461944368,404.1196322423469,408.67767333984375,344074,0.0,0.0,0.0
2024-10-08,409.534100417637,413.4620741227089,403.63721276824947,406.5118103027344,162343,0.0,0.0,0.0
2024-10-09,406.5118103027344,406.5118103027344,406.5118103027344,406.5118103027344,0,0.0,0.0,0.0
2024-10-10,409.53411913004214,410.51857614718165,406.60042640339856,408.7957763671875,162830,0.0,0.0,0.0
2024-10-11,411.50303371673834,416.3071887737475,408.54966266135506,410.4890441894531,309706,0.0,0.0,0.0
2024-10-14,410.48904056487044,411.50303008320213,405.5962880245916,407.5159912109375,308628,0.0,0.0,0.0
2024-10-15,407.7128706180974,409.53412212175886,404.6118370001031,407.6439514160156,161013,0.0,0.0,0.0
2024-10-16,407.56522456988256,409.0419101661503,406.5807675057041,407.5947570800781,75330,0.0,0.0,0.0
2024-10-17,408.54967610870483,409.5341331595692,406.5807620069761,407.5750732421875,76974,0.0,0.0,0.0
2024-10-18,408.5397918560938,408.5397918560938,406.58073208289767,407.6833190917969,68097,0.0,0.0,0.0
2024-10-21,408.5398159162096,409.53412713679825,407.51600222950367,408.717041015625,30587,0.0,0.0,0.0
2024-10-22,413.46209341170334,446.943486210614,413.46209341170334,439.1367492675781,1048076,0.0,0.0,0.0
2024-10-23,443.0056578754034,460.72588419041955,439.1367490070034,447.169921875,982610,0.0,0.0,0.0
2024-10-24,446.94348878288315,446.94348878288315,438.09322975320123,440.3082580566406,142712,0.0,0.0,0.0
2024-10-25,439.16627774571253,443.0056540723576,423.32636807529235,438.1719665527344,162556,0.0,0.0,0.0
2024-10-28,438.171987394872,465.45128400110053,433.1709587700473,456.6404113769531,408934,0.0,0.0,0.0
2024-10-29,461.71036432856215,482.36428440556597,459.7414501949649,478.9678955078125,1043540,0.0,0.0,0.0
2024-10-30,482.38394638202396,502.073087050678,482.38394638202396,498.469970703125,1645641,0.0,0.0,0.0
2024-10-31,502.0632130038348,502.0730671876175,482.87615579514977,485.5046691894531,749661,0.0,0.0,0.0
2024-11-01,486.3217676017643,501.95494987733923,469.1036239456532,495.8020935058594,336834,0.0,0.0,0.0
2024-11-04,500.1140342149797,545.3793500223622,497.1508088887549,542.16015625,891573,0.0,0.0,0.0
2024-11-05,558.1871330883043,569.0161603616224,537.5135355665152,549.1990356445312,548642,0.0,0.0,0.0
2024-11-06,541.45132943706,543.9124718435922,515.8554484091263,523.3963623046875,498951,0.0,0.0,0.0
2024-11-07,530.5041998090912,531.5674302070205,509.4565040707098,512.7052001953125,122377,0.0,0.0,0.0
2024-11-08,509.0134918630928,520.5808618864843,507.487595494326,513.4632568359375,222562,0.0,0.0,0.0
2024-11-11,513.8865459404368,521.7622018169186,513.8865459404368,518.5725708007812,203433,0.0,0.0,0.0
2024-11-12,519.4979587395345,519.4979587395345,506.9953431153161,510.84454345703125,114910,0.0,0.0,0.0
2024-11-13,510.84457444534405,511.8093832000648,506.01091683349176,509.2596130371094,103726,0.0,0.0,0.0
2024-11-14,511.91766151447024,511.91766151447024,497.15080589386054,502.2896728515625,99532,0.0,0.0,0.0
2024-11-15,502.29954346545685,510.92336700056194,501.0886504493918,505.09539794921875,118829,0.0,0.0,0.0
2024-11-18,506.9855160230336,508.4720557514598,497.34770333508567,499.4150390625,111288,0.0,0.0,0.0
2024-11-19,502.07311169854523,546.2752587042492,502.07311169854523,542.4358520507812,743944,0.0,0.0,0.0
2024-11-20,548.3425853220001,548.3425853220001,512.9021309744381,520.7285766601562,444000,0.0,0.0,0.0
2024-11-21,520.7285188293581,521.762186615734,511.9176170569465,517.2533569335938,77847,0.0,0.0,0.0
2024-11-22,517.2337745980691,525.7000814634454,503.05756859142434,505.3218078613281,239820,0.0,0.0,0.0
2024-11-25,507.0051902114434,520.0886016207202,506.01087906481314,515.3632202148438,108438,0.0,0.0,0.0
2024-11-26,515.3632466056195,515.3632466056195,492.228506786647,497.3772277832031,324927,0.0,0.0,0.0
2024-11-27,506.9953831459954,541.4513800588301,506.9953831459954,536.25341796875,620242,0.0,0.0,0.0
2024-11-28,538.6259648684661,550.3114646873775,532.099010131534,545.7731323242188,708547,0.0,0.0,0.0
2024-11-29,549.3270203799104,568.9177392273377,538.4979930964355,549.3073120117188,549220,0.0,0.0,0.0
2024-12-02,553.2648834074186,564.0939113744677,553.2648834074186,557.6752319335938,130949,0.0,0.0,0.0
2024-12-03,557.675165929453,560.0575950625037,532.5912215259257,552.053955078125,123000,0.0,0.0,0.0
2024-12-04,552.1622479421645,552.3690055436649,543.4202649598052,552.113037109375,512629,0.0,0.0,0.0
2024-12-05,552.1130432550746,571.9695243769565,546.3736420468346,570.0006103515625,594336,0.0,0.0,0.0
2024-12-06,556.3264702772221,571.9695061307102,556.2181944300365,560.1068115234375,220458,0.0,0.0,0.0
2024-12-09,570.9850737064436,595.5964992972386,561.1503576542,584.6099853515625,581475,0.0,0.0,0.0
2024-12-10,589.6897309181944,598.5498437366648,573.9384192409137,591.392822265625,489141,0.0,0.0,0.0
2024-12-11,595.5964708477825,603.4721266606457,590.674185964743,592.6529541015625,172347,0.0,0.0,0.0
2024-12-12,594.1198237125111,636.9437049577377,581.8141107110092,621.7535400390625,477091,0.0,0.0,0.0
2024-12-13,633.0058767823036,636.9437049426913,604.4566226194937,617.7369384765625,498077,0.0,0.0,0.0
2024-12-16,620.227597465624,628.3099507078921,602.4876636957948,612.60791015625,380606,0.0,0.0,0.0
2024-12-17,614.301199056188,614.301199056188,580.8296593640239,594.2871704101562,395937,0.0,0.0,0.0
2024-12-18,582.9068779292576,605.8939872215527,570.9851168921471,571.5462646484375,354804,0.0,0.0,0.0
2024-12-19,569.1638695529504,583.6649027242796,517.4306033189404,544.1783447265625,599961,0.0,0.0,0.0
2024-12-20,544.2176655912766,598.5990600403704,544.1783089428584,590.4576416015625,721972,0.0,0.0,0.0
2024-12-23,591.6586432250187,620.2078955603358,567.657577316892,610.4125366210938,331412,0.0,0.0,0.0
2024-12-24,632.0214154356296,632.0214154356296,596.5809622336316,603.3441772460938,272101,0.0,0.0,0.0
2024-12-26,603.3441241449736,603.3441241449736,574.9228568993508,578.1124877929688,366916,0.0,0.0,0.0
2024-12-27,590.6742185917267,590.6742185917267,567.0472498480576,574.794921875,198033,0.0,0.0,0.0
2024-12-30,580.829609061337,610.3633179966591,577.8762381678048,606.8980102539062,316179,0.0,0.0,0.0
2024-12-31,606.8980498417853,614.2913317413613,598.5597276499843,611.7908325195312,590214,0.0,0.0,0.0
2025-01-01,611.7908325195312,611.7908325195312,611.7908325195312,611.7908325195312,0,0.0,0.0,0.0
2025-01-02,615.2856283466402,616.2700853519948,590.6742032127746,610.5798950195312,231079,0.0,0.0,0.0
2025-01-03,610.3633346833192,610.3633346833192,584.7674529062767,590.782470703125,219219,0.0,0.0,0.0
2025-01-06,590.7825316870974,599.5343696650348,575.90739943193,580.9478149414062,383302,0.0,0.0,0.0
