Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-06-12,891.3816416383064,896.2339286647431,877.5561883665015,880.0465698242188,251016,0.0,0.0,0.0
2024-06-13,889.1186192198386,950.6760033517414,881.548674882155,945.9917602539062,1082726,0.0,0.0,0.0
2024-06-14,963.5330016696898,963.5330016696898,929.9328764832596,935.3088989257812,100018,0.0,0.0,0.0
2024-06-20,938.9753061526092,954.6388701118848,938.8270461762843,939.8646850585938,165345,0.0,0.0,0.0
2024-06-21,946.6637587120318,946.6736507526014,904.189266660411,906.6301879882812,247404,0.0,0.0,0.0
2024-06-24,894.8602721144914,906.6202795716775,886.4503488972591,889.7609252929688,130452,0.0,0.0,0.0
2024-06-25,889.4150953404773,902.647629957311,879.52281335153,893.7534790039062,455950,0.0,0.0,0.0
2024-06-26,893.7633425112186,902.7068930653774,889.4150669458887,891.3816528320312,133057,0.0,0.0,0.0
2024-06-27,892.3698773918068,903.7445173262576,889.415052590084,892.3599853515625,111105,0.0,0.0,0.0
2024-06-28,899.2974175046298,900.6809761200252,884.4837257395825,896.0658569335938,81042,0.0,0.0,0.0
2024-07-01,895.3445574093975,901.2739915644265,884.4739281251774,888.4169921875,341903,0.0,0.0,0.0
2024-07-02,889.4150968608577,899.1789029717827,889.4150968608577,891.0457153320312,194171,0.0,0.0,0.0
2024-07-03,898.1511444106567,906.2151479773553,889.5237770678967,902.43017578125,103739,0.0,0.0,0.0
2024-07-04,902.2523179889877,927.9564241160734,901.2739710264739,915.23779296875,383353,0.0,0.0,0.0
2024-07-05,920.0504869723111,920.0504869723111,901.2739464218557,908.2608032226562,124806,0.0,0.0,0.0
2024-07-08,905.226872093018,926.9582368061394,905.226872093018,917.2537231445312,171837,0.0,0.0,0.0
2024-07-09,923.9935416330163,927.7093297978113,909.1798491760175,913.0142211914062,92486,0.0,0.0,0.0
2024-07-10,909.970436771686,918.9337715194677,897.5186498046492,899.7421875,70321,0.0,0.0,0.0
2024-07-11,907.5986789145028,907.5986789145028,894.8800484098404,895.7299194335938,49481,0.0,0.0,0.0
2024-07-12,891.2136609332312,899.1986485721823,879.641361065074,892.616943359375,65700,0.0,0.0,0.0
2024-07-15,900.9774544006623,919.0622149540361,897.3209582561988,913.6071166992188,172639,0.0,0.0,0.0
2024-07-16,913.6071166992188,913.6071166992188,913.6071166992188,913.6071166992188,0,0.0,0.0,0.0
2024-07-17,913.6071166992188,913.6071166992188,913.6071166992188,913.6071166992188,0,0.0,0.0,0.0
2024-07-18,914.1210195357504,919.0622142359437,909.3083007231477,916.7200927734375,46238,0.0,0.0,0.0
2024-07-19,918.0740052411152,925.9799170192948,909.179854490663,916.789306640625,120286,0.0,0.0,0.0
2024-07-22,910.1680777276862,916.7892907909063,889.3162599001577,898.9713134765625,146243,0.0,0.0,0.0
2024-07-23,903.7445102655931,905.1675767513121,885.4719819231319,896.97509765625,130416,0.0,0.0,0.0
2024-07-24,898.2992889087324,904.120030640981,890.4032695652453,901.876708984375,35821,0.0,0.0,0.0
2024-07-25,891.3915354782637,903.2504029125644,889.3656576883678,892.7553100585938,38839,0.0,0.0,0.0
2024-07-26,893.368039727334,899.198673848058,880.6197327326153,890.1265869140625,112225,0.0,0.0,0.0
2024-07-29,885.4621222315099,903.2504237941964,885.4621222315099,892.033935546875,71928,0.0,0.0,0.0
2024-07-30,896.332776772311,899.0899418796789,883.5548536866123,884.8099365234375,48696,0.0,0.0,0.0
2024-07-31,892.3699203465993,892.3699203465993,851.9608133693154,860.7561645507812,99298,0.0,0.0,0.0
2024-08-01,879.305357100234,879.305357100234,842.2365058153007,870.3815307617188,108380,0.0,0.0,0.0
2024-08-02,869.6502942375399,879.5326839447847,861.764166552701,875.6785278320312,75702,0.0,0.0,0.0
2024-08-05,889.3952843860636,889.4150684669052,851.0714086897958,859.4615478515625,77775,0.0,0.0,0.0
2024-08-06,857.7914383104459,868.6620671369608,841.2681114464573,845.359375,75301,0.0,0.0,0.0
2024-08-07,838.0266178197264,853.8384407974571,838.0266178197264,846.39697265625,80785,0.0,0.0,0.0
2024-08-08,851.8619908833903,861.7443805688124,851.8619908833903,859.5900268554688,104008,0.0,0.0,0.0
2024-08-09,869.6502654959136,875.085579655263,859.7678761152782,869.1166381835938,188461,0.0,0.0,0.0
2024-08-12,869.6700948492252,879.5327006629818,847.9189450393613,850.4883422851562,75059,0.0,0.0,0.0
2024-08-13,850.8737569421305,860.7561466859415,841.1890270566597,858.2262573242188,47690,0.0,0.0,0.0
2024-08-15,844.964084191249,862.4163574644429,834.1724714561019,838.1254272460938,52423,0.0,0.0,0.0
2024-08-16,840.0031217735908,865.5886431000043,840.0031217735908,854.5895385742188,53771,0.0,0.0,0.0
2024-08-19,854.8267550952069,859.6592583949663,840.5960890337448,842.9876708984375,40874,0.0,0.0,0.0
2024-08-20,845.4878583562408,845.9325779665332,829.1424071270577,839.52880859375,38419,0.0,0.0,0.0
2024-08-21,841.9795875834064,844.7466445871182,835.259574769444,839.8746337890625,31554,0.0,0.0,0.0
2024-08-22,846.8910913499277,854.8167869118098,840.0129869639875,851.6741943359375,56525,0.0,0.0,0.0
2024-08-23,845.9325647568586,853.8384765770161,837.0384139591813,839.963623046875,29739,0.0,0.0,0.0
2024-08-26,840.0031354670738,846.9208083473908,828.1739437940455,830.0812377929688,24791,0.0,0.0,0.0
2024-08-27,838.0167633448744,838.0167633448744,823.2030706793394,824.675537109375,30752,0.0,0.0,0.0
2024-08-28,820.2383584314472,824.9818935010805,817.2736414732613,820.337158203125,40694,0.0,0.0,0.0
2024-08-29,820.2383585089528,826.7113118048063,819.2501195227975,819.9320068359375,14635,0.0,0.0,0.0
2024-08-30,820.2383186726763,825.1795133634756,818.765852305589,820.0209350585938,19073,0.0,0.0,0.0
