Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-07-18,70.78130039442115,71.39918857365511,70.1634122151872,70.52464294433594,10701000,0.0,0.0
2024-07-19,70.9714100434241,75.45821133112754,70.52462933462057,75.35364532470703,32965900,0.0,0.0
2024-07-22,74.46008568984044,74.59316836960639,72.25470624341067,72.76802825927734,18851500,0.0,0.0
2024-07-23,73.32889152390001,73.32889152390001,72.27373058285838,72.49237060546875,9592100,0.0,0.0
2024-07-24,72.5969249572788,72.71099168772801,70.36302145314797,70.99041748046875,10478200,0.0,0.0
2024-07-25,71.35164183351095,72.026563256708,69.64057558176792,69.6976089477539,18973600,0.0,0.0
2024-07-26,70.19191686567557,71.31361902480566,70.06834215200784,70.39154815673828,12387100,0.0,0.0
2024-07-29,70.7147464860876,71.85545734339719,70.0778497116308,71.48472595214844,10864700,0.0,0.0
2024-07-30,71.53226621442195,72.2927450352949,71.15202680398548,72.18817901611328,16163600,0.0,0.0
2024-07-31,75.61981917497855,77.2263194539016,73.95627827643061,74.09886169433594,18901100,0.0,0.0
2024-08-01,74.04182999198825,74.27947869712429,70.18241734136707,71.39917755126953,17307200,0.0,0.0
2024-08-02,71.3991867475855,72.88211253784921,71.21857138763046,72.13114166259766,15185700,0.0,0.0
2024-08-05,70.20142952063443,71.29461506884945,69.12725993115055,70.2109375,12372900,0.0,0.0
2024-08-06,70.26797247555862,72.2357036062857,70.19192314382437,71.6463394165039,10525500,0.0,0.0
2024-08-07,71.57978996092814,73.03419881649312,71.446707271691,71.57028198242188,7297000,0.0,0.0
2024-08-08,71.36115593431907,72.38780012492185,71.1044985129,72.00756072998047,8988300,0.0,0.0
2024-08-09,71.91250315742879,72.11212720925424,71.0569663264174,71.38016510009766,4683600,0.0,0.0
2024-08-12,72.74902961727514,74.55516145425128,72.52088886230396,73.22432708740234,13123000,0.0,0.0
2024-08-13,86.5231407908634,91.26661435442901,85.82921060584836,91.16204833984375,157215500,0.0,0.0
2024-08-14,90.67724090459848,91.12402163830062,86.91288622106461,89.26085662841797,45737800,0.0,0.0
2024-08-15,89.46998935835141,90.26848554639852,88.38631181602287,90.19243621826172,21109800,0.0,0.0
2024-08-16,89.28391820265661,91.4739380515134,89.22654012769064,90.67060852050781,16336300,0.57,0.0
2024-08-19,90.23069565246526,90.74712023168097,88.10761925889958,88.27020263671875,14479000,0.0,0.0
2024-08-20,88.26064495442462,89.72384440941028,88.1076270080301,88.94921112060547,11536200,0.0,0.0
2024-08-21,88.45190089071107,89.30304306418077,88.19369225339972,88.72924041748047,6769200,0.0,0.0
2024-08-22,88.62404322211826,88.77706115399117,87.76333559607458,88.39452362060547,10010300,0.0,0.0
2024-08-23,88.7961989122454,90.29765295085404,88.77707531585895,89.91511535644531,11483700,0.0,0.0
2024-08-26,90.08723679709652,91.7417084226262,90.06811320497943,91.45480346679688,13882800,0.0,0.0
2024-08-27,91.23486475961954,94.40991421784307,91.09141225743497,94.29515075683594,17456300,0.0,0.0
2024-08-28,93.9317406020574,94.40034528199158,90.25939024486894,91.13922882080078,14866300,0.0,0.0
2024-08-29,91.30179765576268,91.64608070239515,90.16375051293332,90.71842956542969,8781300,0.0,0.0
2024-08-30,90.84275458225486,91.74171671523494,90.31677184408524,90.44109344482422,7117200,0.0,0.0
2024-09-03,90.02029851170802,90.67061012592357,88.97789121778854,89.11177825927734,11234000,0.0,0.0
2024-09-04,89.29349152235734,89.87685965694867,87.95461371679862,88.29889678955078,7193500,0.0,0.0
2024-09-05,88.14587574344087,88.95876346580643,87.21822456876728,87.56250762939453,8370100,0.0,0.0
2024-09-06,87.50513542363394,88.13632350924024,86.24276654871866,87.17041778564453,9257000,0.0,0.0
2024-09-09,87.23736061250459,88.32758793679697,86.46272732848031,88.18413543701172,10089700,0.0,0.0
2024-09-10,88.09805691683215,89.43692728481282,87.16084036294939,89.26478576660156,7327000,0.0,0.0
2024-09-11,89.97248830760486,94.05605777576564,89.57082717230317,93.91260528564453,19302900,0.0,0.0
2024-09-12,94.16126632324227,94.97415412986717,93.09016254623336,94.94546508789062,14653500,0.0,0.0
2024-09-13,94.80199712766324,95.16541105691812,94.19950545547765,94.26644897460938,9899900,0.0,0.0
2024-09-16,94.21862866036258,94.29513762371141,91.78953109255625,92.10511779785156,9263400,0.0,0.0
2024-09-17,92.27726667421005,92.32508660418969,91.04358690296417,92.22945404052734,6281700,0.0,0.0
2024-09-18,91.37831013832123,93.33880319435369,91.16791412435848,91.92342376708984,8793800,0.0,0.0
2024-09-19,93.69264863025587,94.3907728759403,92.12425131828672,92.66936492919922,8752600,0.0,0.0
2024-09-20,92.62155127776693,92.82238185368031,91.15835187018581,91.85648345947266,19541000,0.0,0.0
