Date,Close,High,Low,Open,Volume,Dividends,Stock Splits
2024-07-17,,,,,0,0.91,0.0
2024-07-18,123.81128692626953,126.16149148893075,123.02477077284027,123.3431205081847,2155600,0.0,0.0
2024-07-19,121.02101135253906,123.99854272365484,120.41240076278652,123.97045388334652,3215700,0.0,0.0
2024-07-22,118.8393783569336,120.73077494912441,118.76447000515991,120.44051401556838,2088100,0.0,0.0
2024-07-23,116.9479751586914,118.14648007154643,116.21763667389867,117.87494268603197,3676600,0.0,0.0
2024-07-24,117.13524627685547,118.57719982367502,116.70453399305013,117.89368079594274,2209700,0.0,0.0
2024-07-25,118.95172882080078,119.90678520626821,117.3225116250491,117.47232116974956,2258400,0.0,0.0
2024-07-26,119.05473327636719,119.63525512004475,117.51914784526312,118.72701818015351,2214300,0.0,0.0
2024-07-29,117.21015167236328,119.83188662666527,115.98355787016746,119.38244369542808,2343600,0.0,0.0
2024-07-30,118.11839294433594,118.73636892365387,117.14460590258527,117.14460590258527,2306500,0.0,0.0
2024-07-31,118.72701263427734,120.38432584059814,118.40865573878823,119.9910534562053,3197300,0.0,0.0
2024-08-01,115.2719497680664,119.85997549708168,114.78505263479438,119.02664688873664,3083400,0.0,0.0
2024-08-02,115.09403991699219,118.01540117639188,112.35994952632831,116.74198784360124,6668900,0.0,0.0
2024-08-05,115.28131103515625,116.52662838259106,112.15395538520728,112.91238276018194,5001600,0.0,0.0
2024-08-06,114.48540496826172,116.36743584150346,114.38241493543057,114.67267580898226,3807700,0.0,0.0
2024-08-07,115.28131103515625,117.3974182790503,115.10340549538562,116.20827862053119,2726800,0.0,0.0
2024-08-08,118.71764373779297,118.85809509500434,115.58093009711854,115.58093009711854,2667200,0.0,0.0
2024-08-09,118.47420501708984,119.06409933755282,117.32251950851105,118.72701890976064,3070700,0.0,0.0
2024-08-12,120.57158660888672,120.62776429462323,118.84873042855449,119.10153715802163,2931800,0.0,0.0
2024-08-13,118.31501770019531,119.66333926968213,117.97793730782361,119.27007404948006,2975900,0.0,0.0
2024-08-14,118.48355865478516,119.00790276020739,117.86557555026384,118.54910166796294,2025700,0.0,0.0
2024-08-15,119.96295928955078,120.24386199995008,118.41801581331264,118.51164766889485,2037700,0.0,0.0
2024-08-16,119.90676879882812,120.25320734184776,119.20451924148314,119.4854219218819,2339800,0.0,0.0
2024-08-19,120.0753173828125,121.54535237555909,119.7101410369989,119.91614252928605,1985300,0.0,0.0
2024-08-20,117.27569580078125,120.37495541581494,116.71389748914885,120.12214153220583,2867300,0.0,0.0
2024-08-21,117.02289581298828,118.78319919597926,116.97607630779531,118.19331200627701,2668800,0.0,0.0
2024-08-22,117.24760437011719,118.38056629761634,116.99479049208547,117.04160999354407,2216200,0.0,0.0
2024-08-23,118.82064056396484,119.16707914789814,117.50977314004652,118.21202278032568,1995800,0.0,0.0
2024-08-26,121.77944946289062,122.828137693957,120.63712223091949,121.25510534735743,2270000,0.0,0.0
2024-08-27,120.37495422363281,122.51916454567379,120.16895984455536,122.18208413330214,2150800,0.0,0.0
2024-08-28,120.52476501464844,121.03037846479947,119.07344624667556,119.46670432730534,1726100,0.0,0.0
2024-08-29,121.70453643798828,122.2288805333514,120.88057326840557,121.13337284397382,3152000,0.0,0.0
2024-08-30,120.618408203125,121.07720216947402,119.47607380531568,120.25322466488755,2820200,0.0,0.0
2024-09-03,115.75882720947266,119.16707819830984,115.70264952466687,118.94236031543394,3830700,0.0,0.0
2024-09-04,114.96294403076172,117.34123028253754,114.65395248156172,116.09590590084245,2732400,0.0,0.0
2024-09-05,113.8112564086914,115.92736342507884,113.32435934492526,115.79627740260005,3124900,0.0,0.0
